tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
candidate,2458544.021,14.2545623,4.7250029,7899.693956,11.7835,328.604,5739,4.28235,1.09597
candidate,2459308.481,14.1758947,3.7543827,907.1324529,8.6522,64.5978,5723.87,4.438,0.864173
candidate,2459311.403,19.5901578,4.002861,1182.667864,8.6522,64.5978,5723.87,4.438,0.864173
candidate,2459310.633,6.2036219,3.01098,548.9044399,8.6522,64.5978,5723.87,4.438,0.864173
candidate,2458572.108,3.79589,2.4602856,317.5272928,8.6522,64.5978,5723.87,4.438,0.864173
non-candidate,2458685.613,2.2645386,3.8193701,15019.94209,13.7991,104.912,3443,4.81617,0.411471
candidate,2460333.631,3.4447015,1.912,796,9.91924,39.6345,3912,4.62642,0.63
candidate,2459422.691,3.0300715,2.5466671,21794.6137,11.0248,159.658,5242.82,4.52404,0.857369
candidate,2459781.666,12.72038,2.401,1070,10.2768,243.249,6212,4.17664,1.48
candidate,2458685.41,6.238755,3.6178567,373.5681138,10.2768,243.249,6212,4.17664,1.47768
candidate,2458684.287,3.2947689,1.7483103,1324.040277,11.2582,70.7145,3853,4.63168,0.62326
candidate,2458684.105,0.7645807,1.07057,394.9832006,11.2582,70.7145,3853,4.63168,0.62326
candidate,2459604.096,12.6396982,3.3830702,3292.681286,10.7192,126.903,5217,4.59186,0.789425
candidate,2460042.2,1.8428078,1.449,1950,11.1311,809.252,5080,4.48159,4.09
candidate,2459421.33,1.7208555,1.8346409,10014.25874,13.8046,1086.24,5832.83,4.20893,1.33402
candidate,2459421.236,4.7802597,1.4588658,1015.455004,11.1634,546.522,5826,3.7213,2.3387201
candidate,2459664.127,0.3814849,0.565,570,11.598,110.015,4255,4.55641,0.71
candidate,2459598.143,4.6595169,0.9011821,1725.170626,11.1966,43.1865,3489,4.74553,0.490729
candidate,2459913.811,6.4002807,2.1559875,1026.601873,11.0157,102.551,4599,4.58487,0.720551
candidate,2459764.329,4.8204512,1.756,1930,12.1819,80.0982,3692,4.71598,0.52
